2026-09-25 09:18:00.869 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:18:00.959 PDT [2049302] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 5 recycled; write=0.004 s, sync=0.052 s, total=0.091 s; sync files=15, longest=0.040 s, average=0.004 s; distance=84819 kB, estimate=523714 kB; lsn=0/F2C6D818, redo lsn=0/F2C6D7C0
2026-09-25 09:18:03.828 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:18:03.875 PDT [2049302] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=0.004 s, sync=0.023 s, total=0.048 s; sync files=15, longest=0.011 s, average=0.002 s; distance=5260 kB, estimate=471869 kB; lsn=0/F3190A80, redo lsn=0/F3190A28
2026-09-25 09:20:04.622 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:20:04.759 PDT [2049302] LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 23 recycled; write=0.005 s, sync=0.024 s, total=0.137 s; sync files=24, longest=0.004 s, average=0.001 s; distance=385975 kB, estimate=463280 kB; lsn=1/AA7E9D8, redo lsn=1/AA7E948
2026-09-25 09:20:05.846 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:20:06.040 PDT [2049302] LOG:  checkpoint complete: wrote 18755 buffers (28.6%), wrote 1 SLRU buffers; 0 WAL file(s) added, 1 removed, 10 recycled; write=0.119 s, sync=0.016 s, total=0.195 s; sync files=10, longest=0.007 s, average=0.002 s; distance=181153 kB, estimate=435067 kB; lsn=1/15B67058, redo lsn=1/15B67000
2026-09-25 09:20:07.927 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:20:08.146 PDT [2049302] LOG:  checkpoint complete: wrote 21238 buffers (32.4%), wrote 1 SLRU buffers; 0 WAL file(s) added, 3 removed, 10 recycled; write=0.127 s, sync=0.017 s, total=0.219 s; sync files=11, longest=0.006 s, average=0.002 s; distance=214388 kB, estimate=412999 kB; lsn=1/22CC4238, redo lsn=1/22CC41E0
2026-09-25 09:20:09.285 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:20:09.893 PDT [2049302] LOG:  checkpoint complete: wrote 28854 buffers (44.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 1 removed, 22 recycled; write=0.320 s, sync=0.181 s, total=0.609 s; sync files=3, longest=0.165 s, average=0.061 s; distance=374912 kB, estimate=409190 kB; lsn=1/39AE43C8, redo lsn=1/39AE4370
